date,item_id,qnty
2019-11-01,100454,6.0
2019-11-01,100450,4.0
2019-11-01,100448,1.0
2019-11-01,100486,5.0
2019-11-01,100462,4.0
2019-11-01,100487,11.0
2019-11-01,100453,47.0
2019-11-01,100516,6.0
2019-11-01,100530,5.0
2019-11-01,100602,12.0
2019-11-01,100601,5.0
2019-11-01,100591,1.0
2019-11-01,100547,12.0
2019-11-01,100545,23.0
2019-11-01,100510,4.0
2019-11-01,100607,9.0
2019-11-01,100528,1.0
2019-11-01,100524,1.0
2019-11-01,100523,7.0
2019-11-01,100544,7.0
2019-11-02,100613,5.0
2019-11-02,100612,8.0
2019-11-02,100611,23.0
2019-11-02,100607,5.0
2019-11-02,100602,11.0
2019-11-02,100386,3.0
2019-11-02,100418,2.0
2019-11-02,100370,23.0
2019-11-02,100348,4.0
2019-11-02,100346,20.0
2019-11-02,100450,5.0
2019-11-02,100140,2.0
2019-11-02,100035,15.0
2019-11-02,100639,5.0
2019-11-02,100646,1.0
2019-11-02,100650,2.0
2019-11-02,100651,4.0
2019-11-02,100652,1.0
2019-11-02,100668,1.0
2019-11-02,100691,6.0
2019-11-02,100001,6.0
2019-11-02,100003,2.0
2019-11-02,100006,8.0
2019-11-02,100010,3.0
2019-11-02,100638,4.0
2019-11-02,100614,1.0
2019-11-02,100645,4.0
2019-11-02,100473,6.0
2019-11-02,100487,4.0
2019-11-02,100165,50.0
2019-11-02,100471,4.0
2019-11-02,100470,11.0
2019-11-02,100455,6.0
2019-11-02,100453,51.0
2019-11-02,100245,13.0
2019-11-02,100193,1.0
2019-11-02,100192,1.0
2019-11-02,100474,2.0
2019-11-02,100454,5.0
2019-11-02,100486,8.0
2019-11-02,100596,1.0
2019-11-02,100225,1.0
2019-11-02,100516,13.0
2019-11-02,100510,15.0
2019-11-02,100176,28.0
2019-11-02,100591,2.0
2019-11-02,100547,8.0
2019-11-02,100545,21.0
2019-11-02,100601,1.0
2019-11-02,100526,2.0
2019-11-02,100525,7.0
2019-11-02,100524,5.0
2019-11-02,100523,4.0
2019-11-02,100544,13.0
2019-11-03,100638,8.0
2019-11-03,100474,3.0
2019-11-03,100471,2.0
2019-11-03,100470,9.0
2019-11-03,100469,1.0
2019-11-03,100455,1.0
2019-11-03,100386,4.0
2019-11-03,100450,3.0
2019-11-03,100370,40.0
2019-11-03,100348,3.0
2019-11-03,100346,31.0
2019-11-03,100453,37.0
2019-11-03,100639,6.0
2019-11-03,100604,13.0
2019-11-03,100646,1.0
2019-11-03,100650,1.0
2019-11-03,100651,1.0
2019-11-03,100691,2.0
2019-11-03,100001,5.0
2019-11-03,100003,3.0
2019-11-03,100006,4.0
2019-11-03,100010,5.0
2019-11-03,100035,11.0
2019-11-03,100140,2.0
2019-11-03,100611,4.0
2019-11-03,100045,1.0
2019-11-03,100645,1.0
2019-11-03,100165,11.0
2019-11-03,100612,7.0
2019-11-03,100176,8.0
2019-11-03,100621,1.0
2019-11-03,100614,1.0
2019-11-03,100418,3.0
2019-11-03,100188,1.0
2019-11-03,100192,1.0
2019-11-03,100193,1.0
2019-11-03,100225,3.0
2019-11-03,100227,2.0
2019-11-03,100245,5.0
2019-11-03,100486,9.0
2019-11-03,100487,6.0
2019-11-03,100510,7.0
2019-11-03,100511,1.005
2019-11-03,100607,6.0
2019-11-03,100517,1.0
2019-11-03,100516,1.0
2019-11-03,100602,10.0
2019-11-03,100601,14.0
2019-11-03,100551,1.0
2019-11-03,100547,6.0
2019-11-03,100613,2.0
2019-11-03,100544,17.0
2019-11-03,100528,1.0
2019-11-03,100526,1.0
2019-11-03,100524,7.0
2019-11-03,100523,2.0
2019-11-03,100545,18.0
2019-11-04,100176,14.0
2019-11-04,100182,2.0
2019-11-04,100184,2.0
2019-11-04,100596,1.0
2019-11-04,100225,2.0
2019-11-04,100691,1.0
2019-11-04,100686,1.0
2019-11-04,100657,1.0
2019-11-04,100652,1.0
2019-11-04,100165,28.0
2019-11-04,100651,3.0
2019-11-04,100228,2.0
2019-11-04,100035,12.0
2019-11-04,100613,3.0
2019-11-04,100003,5.0
2019-11-04,100006,5.0
2019-11-04,100604,16.0
2019-11-04,100607,4.0
2019-11-04,100612,5.0
2019-11-04,100614,4.0
2019-11-04,100602,6.0
2019-11-04,100639,4.0
2019-11-04,100645,2.0
2019-11-04,100646,1.0
2019-11-04,11200,296.0
2019-11-04,100601,9.0
2019-11-04,100621,2.0
2019-11-04,100188,1.0
2019-11-04,100001,2.0
2019-11-04,100591,2.0
2019-11-04,100470,8.0
2019-11-04,100544,24.0
2019-11-04,100553,1.0
2019-11-04,100551,1.0
2019-11-04,100545,17.0
2019-11-04,100245,16.0
2019-11-04,100530,4.0
2019-11-04,100525,1.0
2019-11-04,100523,1.0
2019-11-04,100517,4.0
2019-11-04,100510,10.0
2019-11-04,100487,1.0
2019-11-04,100474,1.0
2019-11-04,100473,1.0
2019-11-04,100650,2.0
2019-11-04,100471,5.0
2019-11-04,100558,1.0
2019-11-04,100348,5.0
2019-11-04,100354,56.0
2019-11-04,100370,26.0
2019-11-04,100386,4.0
2019-11-04,100417,2.0
2019-11-04,100346,15.0
2019-11-04,100453,1.0
2019-11-04,100454,2.0
2019-11-04,100455,4.0
2019-11-04,100462,1.0
2019-11-04,100450,1.0
2019-11-04,100469,4.0
2019-11-05,100193,1.0
2019-11-05,100192,1.0
2019-11-05,100182,3.0
2019-11-05,100165,31.0
2019-11-05,100010,4.0
2019-11-05,100035,14.0
2019-11-05,100006,3.0
2019-11-05,100003,6.0
2019-11-05,100001,6.0
2019-11-05,100228,3.0
2019-11-05,100045,1.0
2019-11-05,100245,8.0
2019-11-05,100386,4.0
2019-11-05,100257,2.0
2019-11-05,100462,2.0
2019-11-05,100450,1.0
2019-11-05,100448,1.0
2019-11-05,100417,2.0
2019-11-05,100453,2.0
2019-11-05,100370,19.0
2019-11-05,100354,45.0
2019-11-05,100346,32.0
2019-11-05,100691,3.0
2019-11-05,100454,3.0
2019-11-05,100176,8.0
2019-11-05,100469,7.0
2019-11-05,100375,1.0
2019-11-05,100470,12.0
2019-11-05,100591,4.0
2019-11-05,100545,7.0
2019-11-05,100544,16.0
2019-11-05,100530,2.0
2019-11-05,100525,4.0
2019-11-05,11200,279.0
2019-11-05,100510,7.0
2019-11-05,100474,2.0
2019-11-05,100473,1.0
2019-11-05,100602,4.0
2019-11-05,100471,2.0
2019-11-05,100523,1.0
2019-11-05,100607,6.0
2019-11-05,100601,5.0
2019-11-05,100652,1.0
2019-11-05,100651,1.0
2019-11-05,100650,1.0
2019-11-05,100604,6.0
2019-11-05,100639,2.0
2019-11-05,100646,3.0
2019-11-05,100621,2.0
2019-11-05,100614,3.0
2019-11-05,100613,5.0
2019-11-05,100612,9.0
2019-11-05,100611,6.0
2019-11-05,100638,1.0
2019-11-06,100611,10.0
2019-11-06,100612,11.0
2019-11-06,100614,11.0
2019-11-06,100638,4.0
2019-11-06,11200,273.0
2019-11-06,100645,1.0
2019-11-06,100650,1.0
2019-11-06,100651,2.0
2019-11-06,100473,4.0
2019-11-06,100607,7.0
2019-11-06,100639,2.0
2019-11-06,100602,6.0
2019-11-06,100523,1.0
2019-11-06,100591,2.0
2019-11-06,100474,2.0
2019-11-06,100486,4.0
2019-11-06,100487,7.0
2019-11-06,100510,6.0
2019-11-06,100596,1.0
2019-11-06,100524,3.0
2019-11-06,100526,1.0
